Id,Values_Code,Values_Name,Values_Activity,Values_OperStartdate,Values_State,Date
Sistema,CNRC,COENERSA S.A.S. E.S.P.,COMERCIALIZACIÓN,2023-02-23,OPERACION,2026-08-20
Sistema,AMRC,AMERICANA DE ENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,2023-02-23,OPERACION,2026-08-20
Sistema,LTEC,LATINOAMERICAN ENERGY S.A.S E.S.P.,COMERCIALIZACIÓN,2023-02-23,OPERACION,2026-08-20
Sistema,NORD,ELECNORTE SAS ESP,DISTRIBUCIÓN,2023-02-17,INACTIVO,2026-08-20
Sistema,NMRG,ENERMAS SAS ESP,GENERACIÓN,2023-02-15,OPERACION,2026-08-20
Sistema,EMMC,ECOMMERCIAL S.A.S. E.S.P.,COMERCIALIZACIÓN,2023-02-02,OPERACION,2026-08-20
Sistema,IENC,INTI ENERGIA INTELIGENTE S.A.S. E.S.P.,COMERCIALIZACIÓN,2023-01-17,INACTIVO,2026-08-20
Sistema,UNGG,UNERGY ENERGY DIGITAL S.A.S E.S.P,GENERACIÓN,2022-12-20,OPERACION,2026-08-20
Sistema,CIEG,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,GENERACIÓN,2022-12-13,OPERACION,2026-08-20
Sistema,CALG,EMPRESAS PUBLICAS DE CALARCA ESP,GENERACIÓN,2022-11-22,OPERACION,2026-08-20
Sistema,PSGG,PARQUE SOLAR LOS GIRASOLES S.A.S ESP,GENERACIÓN,2022-10-28,OPERACION,2026-08-20
Sistema,DRUC,DRUMMOND POWER S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-10-28,OPERACION,2026-08-20
Sistema,MERC,MERELEC COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-09-30,OPERACION,2026-08-20
Sistema,SURC,SURENERGY SAS ESP,COMERCIALIZACIÓN,2022-09-30,INACTIVO,2026-08-20
Sistema,VCHC,VACHE S.A.S E.S.P.,COMERCIALIZACIÓN,2022-09-30,INACTIVO,2026-08-20
Sistema,ASEC,APH SERVICIOS ELECTRICOS SA ESP,COMERCIALIZACIÓN,2022-08-23,INACTIVO,2026-08-20
Sistema,COXC,COX ENERGY COMERCIALIZADORA SAS ESP,COMERCIALIZACIÓN,2022-08-16,OPERACION,2026-08-20
Sistema,CLIC,COMPAÑIA DE LUZ INTELIGENTE DE COLOMBIA - CLIC S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-08-11,OPERACION,2026-08-20
Sistema,EYCC,ENERGIA Y GAS DE COLOMBIA SAS ESP,COMERCIALIZACIÓN,2022-08-04,OPERACION,2026-08-20
Sistema,FERG,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,GENERACIÓN,2022-08-04,OPERACION,2026-08-20
Sistema,PSGC,PARQUE SOLAR LOS GIRASOLES S.A.S ESP,COMERCIALIZACIÓN,2022-08-01,OPERACION,2026-08-20
Sistema,EXEC,ENEL X COLOMBIA S.A.S ESP,COMERCIALIZACIÓN,2022-07-26,OPERACION,2026-08-20
Sistema,JMWG,JEMEIWAA KA I S.A.S. E.S.P.,GENERACIÓN,2022-07-19,INACTIVO,2026-08-20
Sistema,TRMG,TERMOTASAJERO S.A. E.S.P.,GENERACIÓN,2022-06-30,OPERACION,2026-08-20
Sistema,TERG,TERMOTASAJERO DOS S.A. E.S.P.,GENERACIÓN,2022-06-30,OPERACION,2026-08-20
Sistema,CHVC,AES COLOMBIA & CIA. S.C.A. E.S.P.,COMERCIALIZACIÓN,2022-06-13,OPERACION,2026-08-20
Sistema,CHVG,AES COLOMBIA & CIA. S.C.A. E.S.P.,GENERACIÓN,2022-06-13,OPERACION,2026-08-20
Sistema,PSBC,PCH SAN BARTOLOME S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-06-13,INACTIVO,2026-08-20
Sistema,GHLC,GHL ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-06-09,INACTIVO,2026-08-20
Sistema,SDCG,SOL DE LAS CIÉNAGAS S.A.S. E.S.P.,GENERACIÓN,2022-05-26,OPERACION,2026-08-20
Sistema,GNSG,GENERSOL S.A.S. E.S.P.,GENERACIÓN,2022-05-24,OPERACION,2026-08-20
Sistema,SPRG,ESPACIO PRODUCTIVO S.A.S. E.S.P.,GENERACIÓN,2022-05-17,OPERACION,2026-08-20
Sistema,PWFC,POWER FINTECH S.A. E.S.P.,COMERCIALIZACIÓN,2022-05-13,OPERACION,2026-08-20
Sistema,FFEC,FORCEFUL ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-05-11,OPERACION,2026-08-20
Sistema,SULG,SUBA SOLAR S.A.S. E.S.P.,GENERACIÓN,2022-04-25,INACTIVO,2026-08-20
Sistema,GPYG,GENERPUTUMAYO S.A.S. E.S.P.,GENERACIÓN,2022-04-18,INACTIVO,2026-08-20
Sistema,DEPC,DEPI ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-04-12,OPERACION,2026-08-20
Sistema,BIGC,BIOGER S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-04-08,OPERACION,2026-08-20
Sistema,ENBC,ENERBIT S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-04-08,OPERACION,2026-08-20
Sistema,NTCC,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,2022-03-31,INACTIVO,2026-08-20
Sistema,CIEC,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,COMERCIALIZACIÓN,2022-03-30,OPERACION,2026-08-20
Sistema,NTCG,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,GENERACIÓN,2022-03-29,OPERACION,2026-08-20
